"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"32","BEAL","HOW3",82,"C",21,16.5,105,1462115.499,50793349.47,-4.270514244,15.93777613,7.95774715459477,0.1588,2.3376,"ME",1,"Young1980","",195.735825351809
"33","BEAL","HOW2",79,"C",23.5,19.1,210,1462178.699,5079323.31,-16.54108521,-9.55,7.95774715459477,0.1588,2.3376,"ME",1,"Young1980","",254.600195580765
"34","PCRU","HOW1",1,"I",23,3.4,263,1462557.466,5079329.485,-0.414355768,-3.374656916,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",193.991268647093
"35","PCRU","HOW1",2,"I",13.2,3.5,286,1462558.845,5079329.496,0.964730745,-3.364415936,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",57.7222443587208
"36","PCRU","HOW1",3,"I",21.3,4.85,273,1462558.134,5079328.017,0.253829388,-4.843353244,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",164.052552315326
"37","PCRU","HOW1",45,"C",20.9,16.7,160,1462542.187,5079338.572,-15.69286677,5.711736394,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",157.401787405715
"38","PCRU","HOW1",6,"C",27.5,6.73,260,1462556.711,5079326.232,-1.168652236,-6.627756178,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",286.545496875134
"39","PCRU","HOW1",47,"C",20.1,16.5,182,1462541.39,5079332.284,-16.48994865,-0.575841696,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",144.546410221649
"40","PCRU","HOW1",4,"I",16,5.45,275,1462558.355,5079327.431,0.474998798,-5.429261105,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",87.8464547723155
"41","PCRU","HOW1",9,"C",21.3,9.45,297,1462562.17,5079324.44,4.290210223,-8.420011654,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",164.052552315326
"42","PCRU","HOW1",10,"I",13.5,11.5,294,1462562.557,5079322.354,4.677471395,-10.50577276,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",60.6246066523834
"43","PCRU","HOW1",91,"I",13.7,14.3,107,1462553.699,5079346.535,-4.180915378,13.67515801,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",62.6024478752603
"44","PCRU","HOW2",73,"D",26.4,11.6,200,1462184.34,5079328.893,-10.9004344,-3.967433663,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",262.114888105532
"45","PCRU","HOW1",13,"C",29,19.5,293,1462565.499,5079314.91,7.619257006,-17.94984464,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",321.76970074031
"46","PCRU","HOW1",54,"C",22.6,18.5,189,1462539.608,5079329.966,-18.2722343,-2.894037603,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",186.702029918197
"47","PCRU","HOW1",15,"C",31.2,21.1,279,1462561.181,5079312.02,3.300767212,-20.84022399,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",377.459009499268
"48","PCRU","HOW1",16,"D",34.1,20.6,271,1462558.24,5079312.263,0.359519573,-20.59686252,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",458.282344833148
"49","PCRU","HOW1",57,"C",36.1,28.5,208,1462532.716,5079319.48,-25.1640064,-13.37993954,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",519.001411459886
"50","PCRU","HOW1",18,"C",36.4,26.3,268,1462556.962,5079306.576,-0.917856763,-26.28397875,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",528.463063071865
"51","PCRU","HOW1",59,"D",44.2,29,219,1462535.343,5079314.61,-22.53723288,-18.25029134,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",807.396999589435
"52","PCRU","HOW1",20,"C",20.5,5.5,298,1462560.462,5079328.004,2.582093595,-4.856211761,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",150.899915251979
"53","PCRU","HOW1",48,"C",24.8,11.8,186,1462546.145,5079331.627,-11.73535837,-1.233435867,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",228.674815009575
"54","PCRU","HOW1",22,"S",17.1,9.7,334,1462566.598,5079328.608,8.718302249,-4.252200124,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",101.568918040611
"55","PCRU","HOW1",23,"C",29.5,11.1,345,1462568.602,5079329.987,10.72177667,-2.872891401,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",334.004084714893
"56","PCRU","HOW1",64,"C",23.1,12.3,218,1462548.187,5079325.287,-9.692532269,-7.572636147,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",195.837235237058
"57","PCRU","HOW1",25,"C",20.7,12.6,320,1462567.532,5079324.761,9.652159983,-8.099123882,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",154.132272391881
"58","PCRU","HOW1",26,"C",22.3,17.4,332,1462573.243,5079324.691,15.36328812,-8.168805192,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",181.334247003039
"59","PCRU","HOW1",27,"C",28.1,18.2,334,1462574.238,5079324.882,16.35805164,-7.978354872,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",300.369764147832
"60","PCRU","HOW1",28,"C",20.5,16.5,347,1462573.957,5079329.148,16.07710607,-3.711692397,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",150.899915251979
"61","PCRU","HOW1",109,"I",31.8,8.1,355,1462565.949,5079332.154,8.069177055,-0.705961516,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",393.485488164305
"62","PCRU","HOW1",70,"D",19.5,12.6,240,1462551.58,5079321.948,-6.3,-10.91192009,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",135.293170345456
"63","PCRU","HOW1",31,"C",11.6,10.9,320,1462566.23,5079325.854,8.34988443,-7.006384946,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",43.5353567534604
"64","PCRU","HOW1",32,"I",10.1,11.2,330,1462567.579,5079327.26,9.699484522,-5.6,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",32.1783577805803
"65","PCRU","HOW1",33,"C",23.2,3.6,180,1462554.28,5079332.86,-3.6,4.41053e-16,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",197.692679673909
"66","PCRU","HOW1",21,"C",28.7,7.3,333,1462564.384,5079329.546,6.504347627,-3.314130648,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",314.54768828134
"67","PCRU","HOW1",35,"C",25.5,3.7,248,1462556.494,5079329.429,-1.386044396,-3.430580262,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",243.000703592378
"68","PCRU","HOW1",36,"I",26.9,7.2,203,1462551.252,5079330.047,-6.627634945,-2.813264125,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",273.0734922584
"69","PCRU","HOW1",77,"D",43.3,7.1,135,1462552.86,5079337.88,-5.020458146,5.020458146,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",771.939732236974
"70","PCRU","HOW1",38,"C",19.4,7.1,177,1462550.79,5079333.232,-7.090269697,0.371585289,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",133.783173465445
"71","PCRU","HOW1",39,"C",33,10.9,176,1462547.007,5079333.62,-10.87344815,0.760345564,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",426.624947592473
"72","PCRU","HOW1",80,"C",14.6,4.7,92,1462557.716,5079337.557,-0.164027635,4.697136887,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",71.9304208641959
"73","PCRU","HOW1",81,"C",24.1,4.4,77,1462558.87,5079337.147,0.989784639,4.287228285,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",214.819410822071
"74","PCRU","HOW1",122,"C",23.4,17.6,74,1462562.731,5079349.778,4.851217462,16.91820585,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",201.432032042722
"75","PCRU","HOW1",43,"C",23.5,14.4,160,1462544.348,5079337.785,-13.53157374,4.925090064,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",203.315954886244
"76","PCRU","HOW1",44,"C",20,17.3,154,1462542.331,5079340.444,-15.549137,7.583820839,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",142.981153929473
"77","PCRU","HOW1",85,"I",12.3,9.2,152,1462549.757,5079337.179,-8.123117854,4.319138378,7.95774715459477,0.2066,2.183,"NH",1,"Whittaker1974","",49.4758398940738
