site,trees,species,Canopy,dbh,dist,azimuth,
HOW1,130,PCRU,C,23.4,16.2,356,
HOW1,131,PCRU,C,23.6,16.6,354,
HOW1,132,THOC,C,42.2,24.3,351,
HOW1,133,PCRU,C,32,28.3,355,
HOW1,134,PCRU,C,32.7,16.2,1,
HOW1,135,PIST,D,36.5,20.9,1,
HOW1,136,PIST,D,36.5,22.4,29,
HOW1,137,PCRU,C,31.1,24.1,45,
HOW1,138,PIST,D,45.6,24.2,40,
HOW1,139,PCRU,D,45,28,70,
HOW2,1,TSCA,C,31.3,3.8,48,Li
HOW2,2,TSCA,C,35.1,5.6,59,Li
HOW2,3,TSCA,S,19.3,6.5,43,Sn
HOW2,4,TSCA,S,10.9,5.6,33,Sn
HOW2,5,TSCA,C,35.6,6.5,20,Li
HOW2,6,ACRU,I,30.7,6.9,20,Sn
HOW2,7,TSCA,C,25.3,9.4,0,Li
HOW2,8,TSCA,C,24.7,10.3,39,Li
HOW2,9,PCRU,D,38.6,11.4,48,Li
HOW2,10,PCRU,C,21.4,13.1,41,Li
HOW2,11,TSCA,I,22.5,10.7,57,Li
HOW2,12,PCRU,D,36.9,9.8,70,Li
HOW2,13,TSCA,S,12,8.9,82,Sn
HOW2,14,TSCA,C,31.9,7.7,88,Li
HOW2,15,THOC,I,27.8,10.2,79,Li
HOW2,16,PCRU,D,28.1,12.7,89,Li
HOW2,17,PCRU,C,26.3,16.1,89,Li
HOW2,18,ACRU,C,33,19.8,80,Li
HOW2,19,PCRU,C,28.8,16.5,63,Li
HOW2,20,PCRU,C,30.5,15.6,60,Li
HOW2,21,TSCA,I,28.3,18.1,60,Li
HOW2,22,PCRU,C,39.1,17.8,43,Li
HOW2,23,TSCA,I,28.3,18.1,60,Li
HOW2,24,PCRU,C,41.3,15.6,25,Li
HOW2,25,ACRU,C,25.7,17.6,18,Li
HOW2,26,TSCA,C,36.5,18.1,10,Li
HOW2,27,PIST,D,66.6,18.8,8,Sn
HOW2,28,TSCA,C,23.7,13.7,15,Li
HOW2,29,PCRU,C,16.6,12.4,20,Li
HOW2,30,TSCA,C,34,11.1,26,LI
HOW2,31,TSCA,S,11.8,1.1,317,Li
HOW2,32,ACRU,C,28,1.9,343,Li
HOW2,33,TSCA,C,37.8,1.9,343,Li
HOW2,34,PCRU,C,34.1,3.4,308,Li
HOW2,35,PCRU,C,34.3,5.6,329,Li
HOW2,36,PCRU,S,14.3,5.3,353,Li
HOW2,37,TSCA,C,22.7,7.2,350,Li
HOW2,38,TSCA,C,23.1,8.3,328,Li
HOW2,39,ACRU,C,15.2,9,350,Li
HOW2,40,TSCA,S,10.2,9.4,330,Li
HOW2,41,TSCA,I,19.1,9,323,Li
HOW2,42,TSCA,I,28.1,12.3,351,Li
HOW2,43,ACRU,C,32.1,13.9,308,Li
HOW2,44,TSCA,D,45.9,14.1,347,Li
HOW2,45,THOC,C,27.7,17.3,357,Li
HOW2,46,PIST,,56.3,17.3,357,Sn
HOW2,47,PCRU,D,21.2,18.2,356,Li
HOW2,48,ACRU,C,23.4,14.8,327,Li
HOW2,49,PCRU,D,24.9,13.9,329,Li
HOW2,50,THOC,I,26.9,14,298,Li
HOW2,51,TSCA,C,43.2,12.9,292,Li
HOW2,52,THOC,S,22.3,11.9,290,Li
HOW2,53,PCRU,C,31,11.3,289,Li
HOW2,54,TSCA,S,18.8,11,280,Li
HOW2,55,THOC,C,31.5,8.4,278,Li
HOW2,56,TSCA,C,30.4,1.4,240,Li
HOW2,57,THOC,C,26.5,4.7,240,Li
HOW2,58,THOC,C,23.7,6.6,260,Li
HOW2,59,THOC,,25,8.6,238,Sn
HOW2,60,TSCA,I,18.4,9.1,248,Li
HOW2,61,ACRU,C,34.6,8.9,222,Li
HOW2,62,TSCA,C,34.9,9.5,216,Li
HOW2,63,PCRU,S,18.5,10.6,224,Li
HOW2,64,TSCA,I,23.2,11.3,224,Li
HOW2,65,TSCA,C,20.2,12.7,240,Li
HOW2,66,PCRU,D,30.2,14.4,250,Li
HOW2,67,PCRU,S,23.4,15.9,238,Sn
HOW2,68,PCRU,D,27.3,17.3,235,Li
HOW2,69,PCRU,D,49.4,19.1,268,Li
HOW2,70,PCRU,C,31.4,15.8,263,Li
HOW2,71,THOC,C,32,8.5,189,Li
HOW2,72,TSCA,C,27.1,10.3,190,Li
HOW2,73,PCRU,D,26.4,11.6,200,Li
HOW2,74,TSCA,I,22.2,13.5,200,Li
HOW2,75,ACRU,C,35.3,13.1,215,Li
HOW2,76,PCRU,C,38.3,13.8,213,Li
HOW2,77,TSCA,C,20.1,15.5,205,Li
HOW2,78,THOC,C,28.4,16.8,180,Li
HOW2,79,BEAL,C,23.5,19.1,210,Li
HOW2,80,PCRU,C,12.9,3,110,Li
HOW2,81,TSCA,S,11.9,2.1,101,Li
HOW2,82,PCRU,C,12.6,2.9,153,Li
HOW2,83,ACRU,C,25.2,4.8,160,Li
HOW2,84,THOC,C,22.8,7.1,178,Li
HOW2,85,TSCA,I,15.7,5.1,150,Li
HOW2,86,PCRU,C,23.3,7.4,157,Li
HOW2,87,THOC,C,21.8,9.3,164,Li
HOW2,88,PCRU,D,45.2,14.2,176,Li
HOW2,89,TSCA,C,23.9,14.8,178,Li
HOW2,90,PCRU,D,36.8,15.4,146,Li
HOW2,91,PCRU,C,29.2,14.3,137,Sn
HOW2,92,TSCA,C,25.7,12.2,139,Li
HOW2,93,PCRU,C,25.1,9.6,140,Li
HOW2,94,PCRU,C,36,6.9,115,Li
HOW2,95,TSCA,C,26,9.7,104,Li
HOW2,96,THOC,S,23.1,11.8,91,Sn
HOW2,97,TSCA,C,22.8,11.7,117,Li
HOW2,98,PCRU,C,27.5,11.3,120,Li
HOW2,99,TSCA,C,28.5,11.5,122,Li
HOW2,100,TSCA,I,26.4,15.7,92,Li
HOW2,101,THOC,I,25,17.5,96,Li
HOW2,102,PCRU,C,41.2,18.9,119,Li
HOW2,103,TSCA,S,25.4,16.7,123,Sn
HOW2,104,PCRU,D,28.9,16.9,114,Li
HOW2,105,PCRU,C,33.8,19.9,154,Li
HOW2,106,PIST,D,74.4,19.8,158,Li
HOW3,1,TSCA,C,26.6,4.8,146,Li
HOW3,2,TSCA,I,19.1,6.3,158,Li
HOW3,3,TSCA,C,32.1,7.2,175,Li
HOW3,4,TSCA,D,48.4,9.1,160,Li
HOW3,5,TSCA,,20.5,12.5,176,Sn
HOW3,6,TSCA,C,39.8,6.2,117,Li
HOW3,7,TSCA,C,29.3,6.3,115,Li
HOW3,8,TSCA,C,34.1,9.2,103,Li
HOW3,9,TSCA,D,33.2,10.7,116,Li
HOW3,10,TSCA,S,13.7,10.4,103,Li
HOW3,11,TSCA,C,23.5,13.3,110,Li
HOW3,12,TSCA,C,30.3,13.9,118,Li
HOW3,13,TSCA,D,64.4,14.7,128,Li
