"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"21","ABBA","HOW1",115,2.36,1950,12.469,41.351,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",4.8578,5.3298,6.43383044175658,1.16559879317679,9.27554047980173
"22","ABBA","HOW1",115,1.815,1951,14.284,39.536,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",5.3298,5.6928,7.41565084895036,0.981820407193781,7.81307855166939
"23","ABBA","HOW1",115,1.99,1952,16.274,37.546,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",5.6928,6.0908,8.578468822755,1.16281797380464,9.25341142235553
"24","ABBA","HOW1",115,0.26,1993,50.577,3.243,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.8994,12.9514,43.6157075421293,0.37659035729084,2.99681084417901
"25","ABBA","HOW1",115,0.209,1994,50.786,3.034,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.9514,12.9932,43.9196978286841,0.303990286554856,2.41907783785635
"26","ABBA","HOW1",115,0.243,1995,51.029,2.791,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",12.9932,13.0418,44.2745644953913,0.354866666707183,2.82393920724961
"27","ABBA","HOW1",115,2.8345,1947,5.567,48.253,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",3.3825,3.9494,3.37184088595165,0.95740137971196,7.61875810520796
"28","ABBA","HOW1",115,2.264,1948,7.831,45.989,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",3.9494,4.4022,4.26063594940652,0.88879506345487,7.07280638722587
"29","ABBA","HOW1",115,1.1775,1961,29.36,24.46,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",8.4725,8.708,18.5369549498692,1.06372490452947,8.46485383229096
"30","ABBA","HOW1",115,2.7325,1946,2.7325,51.0875,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",2.836,3.3825,2.41443950623969,0.763038630320215,6.07206848927658
